"Year","Sex","Country","Region","Health board","Birthweight","Age","Neonatal period","Unit measure","Unit multiplier","Observation status","GeoCode","Value"
"2017","","England and Wales","","","2500 to 2999","Less than 20","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
"2017","","England and Wales","","","2500 to 2999","Less than 20","","Rate per 1,000 live births","Units","Undefined","K04000001","0.7"
"2017","","England and Wales","","","2500 to 2999","20 to 24","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.7"
"2017","","England and Wales","","","2500 to 2999","20 to 24","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.6"
"2017","","England and Wales","","","2500 to 2999","20 to 24","","Rate per 1,000 live births","Units","Undefined","K04000001","1.3"
"2017","","England and Wales","","","2500 to 2999","25 to 29","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.4"
"2017","","England and Wales","","","2500 to 2999","25 to 29","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.3"
"2017","","England and Wales","","","2500 to 2999","25 to 29","","Rate per 1,000 live births","Units","Undefined","K04000001","0.7"
"2017","","England and Wales","","","2500 to 2999","30 to 34","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.8"
"2017","","England and Wales","","","2500 to 2999","30 to 34","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.2"
"2017","","England and Wales","","","2500 to 2999","30 to 34","","Rate per 1,000 live births","Units","Undefined","K04000001","1.1"
"2017","","England and Wales","","","2500 to 2999","35 to 39","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.5"
"2017","","England and Wales","","","2500 to 2999","35 to 39","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.4"
"2017","","England and Wales","","","2500 to 2999","35 to 39","","Rate per 1,000 live births","Units","Undefined","K04000001","0.8"
"2017","","England and Wales","","","2500 to 2999","40  and  over","Early neonatal","Rate per 1,000 live births","Units","Undefined","K04000001","0.8"
"2017","","England and Wales","","","2500 to 2999","40  and  over","Late neonatal","Rate per 1,000 live births","Units","Undefined","K04000001",""
